Row Taxon Label	Start Index	End Index	GenBank Accession	Other Accession Num	Country	Notes
Melica uniflora AJ746294	1	1360	AJ746294		United Kingdom	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; Melica
Melinis repens AM235064	1	1360	AM235064	Forest F. et al. 643 (NBG)		
Menodora spinescens DQ673299	1	1360	DQ673299			
Merciera brevifolia AM234939	1	1360	AM234939	Cupido C. 235 (NBG)		
Merxmuellera sp. AM235065	1	1360	AM235065	Forest F. et al. 775 (NBG)		
Metalasia densa AM234891	1	1360	AM234891	Manning J.C. & Reeves G. 2835 (NBG)		
Metrosideros angustifolia AM235034	1	1360	AM235034	Forest F. & Manning J.C. 527 (NBG)		
Micranthus junceus AJ309662	1	1360	AJ309662			
Microcodon glomeratum AM234940	1	1360	AM234940	Cupido C. 237 (NBG)		
Microdon orbicularis AM235142	1	1360	AM235142	Goldblatt P. & Porter L. 12643 (NBG)		
Microloma tenuifolium AM234837	1	1360	AM234837	RBGK 3297		
Microstegium japonicum AB125343	1	1360	AB125343			
Mimetes pauciflorus AM235084	1	1360	AM235084	LHMS 1463 (NBG)		
Miscanthus capensis AM235066	1	1360	AM235066	Forest F. et al. 757 (NBG)		
Mniothamnea bullata AY490983	1	1360	AY490983	MJG 040558; Cla en-Bockhoff 4017		
Monechma spartioides AM234781	1	1360	AM234781	Goldblatt P. & Porter L. 12401 (NBG)		
Monopsis debilis AM234941	1	1360	AM234941	LHMS 456 (NBG)		
Moquiniella rubra AM235021	1	1360	AM235021	RBGK 5742		
Moraea villosa AJ307156	1	1360	AJ307156	Goldblatt 6275 MO NBG		
Morella californica AJ626763	1	1360	AJ626763		USA	
Muraltia heisteria AJ829698	1	1360	AJ829698	Forest 159		
Myosotis discolor AY395552	1	1360	AY395552			
Mystroxylon aethiopicum AM234958	1	1360	AM234958	Forest F. et al. 745 (NBG)		
Nassella trichotoma EF125159	1	1360	EF125159	Kew 118-78.01227		
Nebelia fragarioides AY490985	1	1360	AY490985	MJG 040559; Cla en-Bockhoff 4012		
Neesenbeckia punctoria AY725952	1	1360	AY725952			
Nemesia strumosa AF123663	1	1360	AF123663			
Nenax microphylla AM235110	1	1360	AM235110	Goldblatt P. & Porter L. 12646 (NBG)		
Nerine sp. AM234807	1	1360	AM234807			
Noltea africana AJ390054	1	1360	AJ390054		South Africa	
Nuxia floribunda AM235156	1	1360	AM235156	RBGK 6581		
Ocotea bullata AM235002	1	1360	AM235002	Goldblatt P. & Porter L. 12584 (NBG)		
Oedera capensis AM234892	1	1360	AM234892	Manning J.C. 2926 (NBG)		
Oftia africana AM235143	1	1360	AM235143	Forest F. & Manning J.C. 548 (NBG)		
Oldenburgia grandis AM234893	1	1360	AM234893	Forest F. et al. 794 (NBG)		
Olea europaea AJ001766	1	1360	AJ001766			Voucher is Dahl 703 (GB)
Oligomeris linifolia AY483272	1	1360	AY483272	Ertter 5613 (WIS)		
Olinia ventosa AF215546	1	1360	AF215546			
Oncinema lineare AM234838	1	1360	AM234838	RBGK 3290		
Oncosiphon suffruticosum AM234894	1	1360	AM234894	Manning J.C. 2926 (NBG)		
Onixotis sp. AM234962	1	1360	AM234962	Duncan G. 361 (NBG)		
Oplismenus sp. AM235067	1	1360	AM235067	Forest F. et al. 811 (NBG)		
Oreoleysera montana AM234895	1	1360	AM234895	Helme N.A. sn (NBG)		
Ornithogalum longibracteatum AM902312	1	1360	AM902312	M.W. Chase 1507		
Ornithoglossum viride AM234963	1	1360	AM234963	Goldblatt P. & Manning J.C. sn (NBG)		
Orphium frutescens AM234983	1	1360	AM234983	RBGK 15135		
Osmitopsis asteriscoides AM234896	1	1360	AM234896	Conrad F. 96 (NBG)		
Osteospermum jucundum AM234897	1	1360	AM234897	RBGK 13713		
Osyris compressa AM235123	1	1360	AM235123	Manning J.C. & Reeves G. 2841 (NBG)		
Othonna coronopifolia AM234898	1	1360	AM234898	Manning J.C. & Reeves G. 2827 (NBG)		
Oxalis pes-caprae AM235044	1	1360	AM235044	Manning J.C. & Reeves G. 2823 (NBG)		
Pachypodium rosulatum AM234839	1	1360	AM234839	LHMS 103 (NBG)		
Panicum sp. AM235068	1	1360	AM235068	Forest F. et al. 761 (NBG)		
Papaver sp. AM235045	1	1360	AM235045	Goldblatt P. & Porter L. 12541 (NBG)		
Pappea capensis AM235130	1	1360	AM235130	RBGK 6585		
Paranomus dispersus AM235085	1	1360	AM235085	RBGK 9336		
Parapholis incurva EF125154	1	1360	EF125154	Chase19528 K		
Paronychia canadensis DQ006082	1	1360	DQ006082	Wiser 1 US		
Paspalum dilatatum AM849371	1	1360	AM849371	T.R. Hodkinson 128 (TCD)		
Passerina falcifolia AJ297224	1	1360	AJ297224	Bred. 915 Pre.		
Pavonia sp. AM235026	1	1360	AM235026	Balele K. 44 (NBG)		
Peliostomum virgatum AM235144	1	1360	AM235144	Savolainen V. & Powell M.P. 910 (NBG)		
Pentameris thuarii DQ887119	1	1360	DQ887119			
Pentaschistis airoides AM235069	1	1360	AM235069	Forest F. et al. 573 (NBG)		
Pentzia incana AM234899	1	1360	AM234899	Forest F. & Manning J.C. 534 (NBG)		
Peristrophe cernua AM234782	1	1360	AM234782	Styles D. 2497 (NH)		
Petalacte coronata AM234900	1	1360	AM234900	Goldblatt P. & Porter L. 12397 (NBG)		
Peucedanum galbanum AM234823	1	1360	AM234823	Balele K. 5 (NBG)		
Phalaris arundinacea AJ784827	1	1360	AJ784827	000-73-10389		
Phaneroglossa bolusii AY215161	1	1360	AY215161	Watson 94-62 (TEX)		authority: Phaneroglossa bolusii (Oliv.) B. Nordenstam
Pharnaceum sp. AM235031	1	1360	AM235031	Forest F. & Manning J.C. 520 (NBG)		
Phyllobolus splendens AM234793	1	1360	AM234793	Klak C. M53 (B)		
Phyllopodium sp. AM235145	1	1360	AM235145	Forest F. & Manning J.C. 545 (NBG)		
Phymaspermum appressum AM234901	1	1360	AM234901	Goldblatt P. & Porter L. 12477 (NBG)		
Pillansia templemannii AJ309671	1	1360	AJ309671			
Piper capense AM235048	1	1360	AM235048	LHMS 2432 (NBG)		
Plantago crassifolia AM235049	1	1360	AM235049	RBGK 9393		
Platycarpha carlinoides EU385009	1	1360	EU385009			
Platycaulos major AY881465	1	1360	AY881465	"Linder, Hardy, and Moline 7335"		
Platylophus trifoliatus AF291933	1	1360	AF291933			
Plecostachys serpyllifolia AM234902	1	1360	AM234902	Nanni I. & Manning J.C. sn (NBG)		
Poa trivialis AY395555	1	1360	AY395555			
Polemanniopsis marlothii AM234824	1	1360	AM234824	RBGK 5804		
Polhillia pallens AM235012	1	1360	AM235012	RBGK 6757		
Polyarrhena reflexa AM234903	1	1360	AM234903	Forest F. et al. 877 (NBG)		
Polycarena sp. AM235146	1	1360	AM235146	Goldblatt P. & Manning J.C. 12386 (NBG)		
Polycarpon tetraphyllum AY270144	1	1360	AY270144	"Bot. Gard. Mainz, Germany"		authority: Polycarpon tetraphyllum L.
Polygala bracteolata AJ829702	1	1360	AJ829702	Forest 152		
Polygonum undulatum AM235078	1	1360	AM235078	LHMS 1598 (NBG)		
Polypogon sp. AM235070	1	1360	AM235070	Forest F. et al. 854 (NBG)		
Polystachya pubescens AF074222	1	1360	AF074222			Polystachya pubescens (Lindl.) Rchb.f.
Portulacaria afra AM235080	1	1360	AM235080	RBGK 11494		
Potamogeton distinctus AB004901	1	1360	AB004901			
Printzia sp. AM234904	1	1360	AM234904	Goldblatt P. & Porter L. 12484 (NBG)		
Prionanthium dentatum DQ887121	1	1360	DQ887121	Linder 5430 (BOL)		
Prismatocarpus schlechteri AM234942	1	1360	AM234942	Cupido C. 237 (NBG)		
Prunus africana AM235108	1	1360	AM235108	KBG 170/1947 (NBG)		
Pseudobaeckea cordata AM234935	1	1360	AM234935	Helme N.A. 3287 (NBG)		
Pseudopentameris macrantha DQ887122	1	1360	DQ887122	Linder 5470 (BOL)		
Pseudoselago sp. AM235147	1	1360	AM235147	RBGK 15140		
Psilocaulon parviflorum AM234794	1	1360	AM234794	Klak C. Br19 (B)		
Psoralea aculeata AM235013	1	1360	AM235013	Balele K. 18B (NBG)		
Psychotria nervosa AJ002186	1	1360	AJ002186			
Psydrax obovata AM235111	1	1360	AM235111	Logie C. FBG82 (NBG)		
Ptaeroxylon obliquum AF123276	1	1360	AF123276			
Pteronia divaricata AM234905	1	1360	AM234905	Balele K. 4 (NBG)		
Pterygodium catholicum AY368346	1	1360	AY368346	MW Chase O-1130		
Pulicaria scabra AM234906	1	1360	AM234906	Helme N.A. 3416 (NBG)		
Pupalia lappacea AY270122	1	1360	AY270122	"Th. Borsch 3544; (BONN, Bot. Gard. Bonn 16784)"		authority: Pupalia lappacea A. Juss
Putterlickia pyracantha AM234959	1	1360	AM234959	Balele K. 13 (NBG)		
Pycreus mundtii AF449517	1	1360	AF449517			
Pyrenacantha malvifolia AJ402995	1	1360	AJ402995	Chase 683 K		
Quaqua mammillaris AM234840	1	1360	AM234840	LHMS 2415 (NBG)		
Rafnia perfoliata AM235014	1	1360	AM235014	RBGK 5728		
Raspalia virgata AM234936	1	1360	AM234936	RBGK 1080		
Relhania rotundifolia AM234907	1	1360	AM234907	Balele K. 54 (NBG)		
Restio dispar AM235099	1	1360	AM235099	LHMS 1886 (NBG)		
Rhamnus prinoides AM235104	1	1360	AM235104	RBGK 6552		
Rhigiophyllum squarrosum AM234943	1	1360	AM234943	Cupido C. 106 (NBG)		
Rhigozum obovatum AM234922	1	1360	AM234922	RBGK 3892		
Rhodocoma capensis AM235100	1	1360	AM235100	RBGK 19659		
Rhoiacarpos capensis AM235124	1	1360	AM235124	Logie C. FBG81 (NBG)		
Rhoicissus tomentosa AJ419725	1	1360	AJ419725	Chase 5891 K		
Rhus lucida AM234811	1	1360	AM234811	RBGK 5809		
Rhynchopsidium sp. AM234908	1	1360	AM234908	Goldblatt P. & Porter L. 12391 (NBG)		
Rhynchosia capensis AM235015	1	1360	AM235015	Balele K. 16 (NBG)		
Riocreuxia torulosa AM234841	1	1360	AM234841	Styles D. 2448 (NH)		
Robsonodendron maritimum AM234960	1	1360	AM234960	Forest F. et al. 740 (NBG)		
Roella amplexicaulis AM234944	1	1360	AM234944	Cupido C. 122 (NBG)		
Romulea monadelpha AJ133871	1	1360	AJ133871			
Rosenia humilis AM234909	1	1360	AM234909	Forest F. et al. 856 (NBG)		
Rothmannia capensis AM235112	1	1360	AM235112	Forest F. et al. 865 (NBG)		
Ruschia brakdamensis AM234795	1	1360	AM234795	LHMS 262 (NBG)		
Salicornia meyeriana AM234802	1	1360	AM234802	Balele K. 56 (NBG)		
Salix mucronata AM235121	1	1360	AM235121	Goldblatt P. & Porter L. 12449 (NBG)		
Salsola kali AY270129	1	1360	AY270129	"G. Kadereit 1999/211; Baltic Sea, Germany (MJG)"		authority: Salsola kali L.
Saltera sarcocolla AM235047	1	1360	AM235047	LHMS 1333 (NBG)		
Salvia dentata AM235000	1	1360	AM235000	RBGK 16424		
Sanicula elata AM234825	1	1360	AM234825	Forest F. et al. 646 (NBG)		
Saphesia flaccida AM234796	1	1360	AM234796	Klak C. L55 (B)		
Sarcocornia utahensis AY270126	1	1360	AY270126	"D. Pratt 196; Utah, USA (ISC)"		"Chenopodiaceae, Salicornioideae; authority: Sarcocornia utahensis (Tidestr.) A. J. Scott"
Sarcostemma viminale EU196289	1	1360	EU196289			
Satyrium rhynchanthum AJ542397	1	1360	AJ542397	Chase 678 (K)		
Scabiosa columbaria AF446948	1	1360	AF446948			
Scadoxus puniceus AM234808	1	1360	AM234808	LHMS 2 (NBG)		
Schismus barbatus AM235071	1	1360	AM235071	Forest F. et al. 655 (NBG)		
Schistostephium umbellatum AM234910	1	1360	AM234910	LHMS 1325 (NBG)		
Schoenoxiphium lehmannii EF178542	1	1360	EF178542	Grimshaw 94/94 (K)		
Schotia afra AM235016	1	1360	AM235016	Logie C. FBG63 (NBG)		
Scirpoides thunbergii AJ404727	1	1360	AJ404727	Muasya 1205 (K)	South Africa	
Scleranthus annuus AY270145	1	1360	AY270145	"Th. Borsch 3389; Rheinland-Pfalz, Germany (BONN)"		authority: Scleranthus annuus L.
Scolopia mundii AM235122	1	1360	AM235122	RBGK 6560		
Scutia buxifolia AJ390033	1	1360	AJ390033		Argentina	
Sebaea sp. AM234984	1	1360	AM234984	Forest F. et al. 560 (NBG)		
Seidelia triandra AY794933	1	1360	AY794933	"Giess 13381, MO"		
Selago sp. AM235148	1	1360	AM235148	Balele K. 29 (NBG)		
Senecio burchellii AM234911	1	1360	AM234911	Manning J.C. & Reeves G. 2822 (NBG)		
Septulina glauca AM235022	1	1360	AM235022	Manning J.C. 2925 (NBG)		
Serruria fasciflora AM235086	1	1360	AM235086	RBGK 9344		
Sesbania punicea GU135148	1	1360	GU135148	J.R. Abbott 23503 (FLAS)		authority: Sesbania punicea (Cav.) Benth.
Setaria sp. AM235072	1	1360	AM235072	Forest F. et al. 742 (NBG)		
Sida sp. AM235027	1	1360	AM235027	Balele K. 43 (NBG)		
Sideroxylon inerme AM235132	1	1360	AM235132	RBGK 1114		
Silene sp. AM234951	1	1360	AM234951	Balele K. 12 (NBG)		
Siphocodon debilis AM234945	1	1360	AM234945	Cupido C. 139 (NBG)		
Sisymbrium irio AY167982	1	1360	AY167982			
Smelophyllum capense AM235131	1	1360	AM235131	Forest F. et al. 755 (NBG)		
Solanum sp. AM235153	1	1360	AM235153	Goldblatt P. & Porter L. 12426 (NBG)		
Sonderothamnus petraeus AY078154	1	1360	AY078154			
Sorocephalus alopecurus AM235087	1	1360	AM235087	LHMS 1046 (NBG)		
Sparaxis variegata AJ309669	1	1360	AJ309669			
Sparrmannia ricinocarpa AJ233128	1	1360	AJ233128			
Spartina pectinata AJ784821	1	1360	AJ784821	1975-938 RHSW		
Spatalla curvifolia AM235088	1	1360	AM235088	LHMS 23 (NBG)		
Spergula rubra AY270146	1	1360	AY270146	"Bot. Gard. Mainz, Germany"		authority: Spergula rubra (L.) J. et C. Presl.
Spetaea lachenaliiflora AM234990	1	1360	AM234990			
Sporobolus sp. AM235073	1	1360	AM235073	Forest F. et al. 734 (NBG)		
Staavia radiata AM234937	1	1360	AM234937	RBGK 1078		
Staberoha sp. AM235101	1	1360	AM235101	Balele K. 58 (NBG)		
Stachys aethiopica AM235001	1	1360	AM235001	Balele K. 21 (NBG)		
Steirodiscus sp. AM234912	1	1360	AM234912	Goldblatt P. & Porter L. 12385 (NBG)		
Stenoglottis woodii AM235042	1	1360	AM235042	RBGK 16644		
Stenotaphrum secundatum AM235074	1	1360	AM235074	Forest F. et al. 738 (NBG)		
Sterculia tragacantha AF022126	1	1360	AF022126	Fairchild Botanical Garden acc. no. X.12-17		Voucher specimen: Fairchild Botanical Garden acc. no. X.12-17.
Stilpnogyne sp. AM234913	1	1360	AM234913	Manning J.C. 2982 (NBG)		
Stirtonanthus taylorianus AM235017	1	1360	AM235017	RBGK 12310		
Stoebe sp. AM234914	1	1360	AM234914	Balele K. 39 (NBG)		
Stoibrax capense AM234826	1	1360	AM234826	Goldblatt P. & Porter L. 12445 (NBG)		
Strelitzia reginae AM235157	1	1360	AM235157	RBGK 15804		
Streptocarpus rexii AM234985	1	1360	AM234985	Forest F. et al. 804 (NBG)		
Striga gesnerioides AF026839	1	1360	AF026839			
Struthiola ciliata AJ297241	1	1360	AJ297241	Chase 6445 K		
Strychnos decussata AM235020	1	1360	AM235020	KBG 647/1983 (NBG)		
Stylapterus micranthus AJ605093	1	1360	AJ605093			
Suaeda altissima AY270135	1	1360	AY270135	"H. Freitag & N. Adiguezel 28.601; Prov. Erzincan, near Erzincan, Turkey (GAZI, KAS)"		authority: Suaeda altissima (L.) Pall.
Suessenguthiella scleranthoides AM235032	1	1360	AM235032	RBGK 11127		
Sutera pinnatifida AM235149	1	1360	AM235149	Vetter S. & Dold T. sn (NBG)		
Syncarpha ferruginea AM234915	1	1360	AM234915	Goldblatt P. & Porter L. 12475 (NBG)		
Syringodea derustensis AM234994	1	1360	AM234994	LHMS 1594 (NBG)		
Tarchonanthus camphoratus AM234916	1	1360	AM234916	Logie C. FBG83 (NBG)		
Tecoma capensis AM234923	1	1360	AM234923	Balele K. 41 (NBG)		
Tecomaria capensis AM235150	1	1360	AM235150	Forest F. et al. 612 (NBG)		
Teedia lucida AM234923	1	1360	AM234923	Balele K. 41 (NBG)		
Tetragonia sp. AM234797	1	1360	AM234797	LHMS 210 (NBG)		
Tetraria involucrata AM234973	1	1360	AM234973	Balele K. 33 (NBG)		
Thamnea massoniana AY490990	1	1360	AY490990	MJG 040576; Cla en-Bockhoff 4010		
Thamnochortus arenarius AM235102	1	1360	AM235102	LHMS 1312 (NBG)		
Thereianthus racemosus AJ309663	1	1360	AJ309663			
Thesidium fragile AM235125	1	1360	AM235125	Forest F. & E. Lucas 715 (NBG)		
Thesium strictum AM235126	1	1360	AM235126	Cupido C. sn (NBG)		
Thinopyrum distichum AM235075	1	1360	AM235075	Forest F. et al. 658 (NBG)		
Thunbergia capensis AM234783	1	1360	AM234783	Forest F. et al. 825 (NBG)		
Tittmannia esterhuyseniae AY490991	1	1360	AY490991	MJG 040564; Cla en-Bockhoff & Esterhuysen 4021		
Torilis arvensis AM234827	1	1360	AM234827	Goldblatt P. & Porter L. 12425 (NBG)		
Trachyandra tortilis AJ512327	1	1360	AJ512327			
Trachypogon spicatus EF125123	1	1360	EF125123	HodkinsonK579 TCD		
Tragus racemosus EF125103	1	1360	EF125103	Chase19533 K		
Treichelia longebracteata AM234946	1	1360	AM234946	Cupido C. sn (NBG)		
Tribolium uniolae AM235076	1	1360	AM235076	Balele K. 27 (NBG)		
Tribulus terrestris AM235167	1	1360	AM235167	Forest F. et al. 870 (NBG)		
Trichocephalus stipularis AM235105	1	1360	AM235105	Goldblatt P. & Porter L. 12568 (NBG)		
Trichocladus crinitus AF060711	1	1360	AF060711			
Trichodesma africanum AM234930	1	1360	AM234930	Goldblatt P. & Porter L. 12472A (NBG)		
Trichodiadema barbatum AY046587	1	1360	AY046587			
Trichogyne repens AM234917	1	1360	AM234917	Goldblatt P. & Porter L. 12624 (NBG)		
Trifolium burchellianum AM235018	1	1360	AM235018	Forest F. et al. 812 (NBG)		
Triglochin bulbosa AM234996	1	1360	AM234996	Balele K. 31 (NBG)		
Trigonocapnos lichtensteinii AM234981	1	1360	AM234981	Goldblatt P. & Porter L. 12421 (NBG)		
Trimeria grandifolia AJ418835	1	1360	AJ418835	NBG 949/77 K		
Tripteris clandestina AM234918	1	1360	AM234918	Manning J.C. 2850 (NBG)		
Tristachya leucothrix AM235077	1	1360	AM235077	Forest F. et al. 767 (NBG)		
Tritonia disticha AJ309675	1	1360	AJ309675			
Tritoniopsis unguicularis AJ309658	1	1360	AJ309658			
Troglophyton sp. AM234919	1	1360	AM234919	Goldblatt P. & Porter L. 12535 (NBG)		
Typha capensis AM235159	1	1360	AM235159	Forest F. & E. Lucas 733 (NBG)		
Ursinia sp. AM234920	1	1360	AM234920	Balele K. 38 (NBG)		
Valeriana capensis AM235163	1	1360	AM235163	Helme N.A. 3324 (NBG)		
Vellereophyton dealbatum AM234921	1	1360	AM234921	Nanni I. & Manning J.C. sn (NBG)		
Veltheimia bracteata AM234991	1	1360	AM234991	RBGK 1735		
Veronica anagallis-aquatica AY034021	1	1360	AY034021			
Vexatorella obtusata subsp. obtusata AM235089	1	1360	AM235089	LHMS 983 (NBG)		
Viola decumbens AM235165	1	1360	AM235165	Forest F. et al. 571 (NBG)		
Viscum capense AM235127	1	1360	AM235127	RBGK 5894		
Wachendorfia thyrsiflora AF312266	1	1360	AF312266			
Wahlenbergia capensis AM234947	1	1360	AM234947	LHMS 1309 (NBG)		
Walleria gracilis AM235158	1	1360	AM235158	Manning J.C. 2180 (NBG)		
Watsonia angusta AJ309666	1	1360	AJ309666			
Wiborgia tetraptera EU347973	1	1360	EU347973	Boatwright et al. 104 (JRAU)		
Willdenowia incurvata AM235103	1	1360	AM235103	Balele K. 25 (NBG)		
Wimmerella pygmaea AM234948	1	1360	AM234948	Cupido C. 129 (NBG)		
Witsenia maura AJ277880	1	1360	AJ277880		Australia	
Wolffia arrhiza AY034254	1	1360	AY034254	43WOLFARRH7347		
Wurmbea spicata AM234964	1	1360	AM234964	RBGK 9767		
Xenoscapa fistulosa AM234995	1	1360	AM234995	RBGK 11508		
Xiphotheca tecta AM235019	1	1360	AM235019	RBGK 12290		
Xyris capensis AJ286563	1	1360	AJ286563			
Xysmalobium undulatum AM234842	1	1360	AM234842	RBGK 10545		
Zaluzianskya ovata AM235151	1	1360	AM235151	Balele K. 28 (NBG)		
Zantedeschia aethiopica AF065474	1	1360	AF065474			
Zehneria scabra AM234970	1	1360	AM234970	Logie C. FBG147 (NBG)		
Zostera capensis AM235166	1	1360	AM235166	Forest F. et al. 843 (NBG)		
Zygophyllum spinosum AJ133871	1	1360	AJ133871			
